ID,Full Name,Name,Prefix,Suffix,Sex,Birth Date,Sire ID,Dam ID,Owner CTU ID,Owned
CTC54,MM Bianco,Bianco,MM,,Male,2025-07-21,CTC53,CTC60,CTU2,Yes
CTC129,MF Bagel,Bagel,MF,,Female,2025-06-23,CTC321,CTC323,CTU2,No
CTC337,MF Almond,Almond,MF,,Female,2025-06-22,CTC330,CTC336,CTU5,Yes
CTC128,MM Zorica Marion,Zorica,MM,Marion,Female,2025-06-13,CTC61,CTC320,CTU2,No
CTC127,MM Yeva,Yeva,MM,,Female,2025-06-13,CTC316,CTC317,CTU2,Yes
CTC699,MM's (Silver) Spoon,(Silver) Spoon,MM's,,Female,2025-06-13,CTC316,CTC317,,CTU10,Yes
CTC126,MM Atari,Atari,MM,,Female,2025-06-10,CTC58,CTC59,CTU2,Yes
CTC16,MM Voltari,Voltari,MM,,Male,2025-05-18,CTC58,CTC59,CTU2,No
CTC707,MM's Bubbles,Bubbles,MM's,,Female,2025-05-17,CTC314,CTC315,CTU10,Yes
CTC124,MM Ursula,Ursula,MM,,Female,2025-05-17,CTC314,CTC315,CTU2,No
CTC125,MM Ultima,Ultima,MM,,Female,2025-05-17,CTC314,CTC315,CTU2,No
CTC526,MM Oscar,Oscar,MM,,Male,2025-05-17,CTC14,CTC473,CTU7,Yes
CTC527,MM Speedy Gonzales.,Speedy Gonzales.,MM,,Female,2025-05-17,CTC14,CTC473,CTU7,Yes
CTC507,MM Maribel,Maribel,MM,,Female,2025-05-17,CTC314,CTC315,CTU5,Yes
CTC123,MM Marla,Marla,MM,,Female,2025-05-16,CTC307,CTC308,CTU2,No
CTC329,MM Parker,Parker,MM,,Male,2025-05-15,CTC11,CTC306,CTU1,No
CTC122,MM Primrose,Primrose,MM,,Female,2025-05-15,CTC11,CTC306,CTU2,No
CTC698,MM's Lazuli (Lazeltje),Lazuli (Lazeltje),MM's,,Male,2025-05-15,CTC11,CTC306,CTU10,Yes
CTC66,MM Omega,Omega,MM,,Male,2025-05-14,CTC316,CTC317,CTU1,No
CTC116,M3 Mavi,Mavi,M3,,Female,2025-04-22,,,CTU2,No
CTC118,MM Myrrh,Myrrh,MM,,Female,2025-04-22,CTC305,CTC300,CTU2,Yes
CTC119,MM Manisha,Manisha,MM,,Female,2025-04-22,CTC305,CTC300,CTU2,No
CTC120,MM Meadow,Meadow,MM,,Female,2025-04-22,CTC305,CTC300,CTU2,No
CTC121,MM Melina,Melina,MM,,Female,2025-04-22,CTC305,CTC300,CTU2,No
CTC117,M3 Navy,Navy,M3,,Female,2025-04-22,,,CTU1,No
CTC506,MM Koda,Koda,MM,,Male,2025-04-22,CTC305,CTC300,CTU5,Yes
CTC115,MM Lottie,Lottie,MM,,Female,2025-04-19,CTC283,CTC297,CTU2,Yes
CTC114,MM Lexi,Lexi,MM,,Female,2025-04-19,CTC283,CTC297,CTU2,Yes
CTC113,MM Kenzie,Kenzie,MM,,Female,2025-04-17,CTC278,CTC296,CTU2,No
CTC112,MM Journey,Journey,MM,,Female,2025-04-17,CTC283,CTC284,CTU1,No
CTC111,MM Jimena,Jimena,MM,,Female,2025-04-17,CTC283,CTC284,CTU2,Yes
CTC110,MM Ivey,Ivey,MM,,Female,2025-04-16,CTC278,CTC280,CTU2,No
CTC109,MM Habiba Marion,Habiba,MM,Marion,Female,2025-04-14,CTC271,CTC270,CTU2,No
CTC108,MM Haidera,Haidera,MM,,Female,2025-04-14,CTC271,CTC270,CTU1,No
CTC53,MM Gianni,Gianni,MM,,Male,2025-04-12,CTC56,CTC57,CTU5,Yes
CTC504,MM Gryffin,Gryffin,MM,,Male,2025-04-12,CTC56,CTC57,CTU1,No
