ID,Full Name,Name,Prefix,Suffix,Species,Sex,Birth Date,Sire ID,Dam ID,Genetic Code,Color,Eye Color,Owner CTU ID,Owned
CTC439,MM Black Betty,Black Betty,MM,,Fancy Mouse,Female,2024-07-14,CTC311,CTC396,,Black,,CTU1,No
CTC438,MM Aqua,Aqua,MM,,Fancy Mouse,Female,2024-07-14,CTC311,CTC396,,Dominant Fawn,,CTU1,No
CTC437,MM Rickon,Rickon,MM,,Fancy Mouse,Male,2024-07-14,CTC31,CTC32,,Dominant Sable,,CTU1,No
CTC433,MM Pippin,Pippin,MM,,Fancy Mouse,Male,2024-07-13,CTC31,CTC309,,Splashed,,CTU1,No
CTC186,MM Vision Forward,Vision Forward,MM,,Fancy Mouse,Female,2024-07-13,CTC188,CTC187,,Dominant Red Pied,,CTU1,No
CTC310,MM White Magic,White Magic,MM,,Fancy Mouse,Female,2024-07-13,CTC31,CTC309,,Sealpoint Siamese Longhair,,CTU1,No
CTC436,MM Work of Art,Work of Art,MM,,Fancy Mouse,Female,2024-07-13,CTC31,CTC309,,Dominant Redpoint Siamese,,CTU1,No
CTC322,MM What the Fluff,What the Fluff,MM,,Fancy Mouse,Female,2024-07-13,CTC31,CTC309,,Dominant Red Splashed,,CTU1,No
CTC435,MM Wildcard,Wildcard,MM,,Fancy Mouse,Female,2024-07-13,CTC31,CTC309,,Dominant Red Splashed,,CTU1,No
CTC434,MM Wannabe Wistar,Wannabe Wistar,MM,,Fancy Mouse,Male,2024-07-13,CTC31,CTC309,,Pink Eye White,,CTU1,No
CTC432,MM Vibrant Memory,Vibrant Memory,MM,,Fancy Mouse,Female,2024-07-13,CTC188,CTC187,,Dominant Red Pied,,CTU1,No
CTC431,MM Vanilla Ice,Vanilla Ice,MM,,Fancy Mouse,Male,2024-07-13,CTC188,CTC187,,Pink Eye White,,CTU1,No
CTC430,MM Valentino,Valentino,MM,,Fancy Mouse,Male,2024-07-13,CTC188,CTC187,,Dominant Red Pied,,CTU1,No
CTC429,MM V for Vendetta,V for Vendetta,MM,,Fancy Mouse,Female,2024-07-13,CTC188,CTC187,,Dominant Red Pied,,CTU1,No
CTC420,MM Uniquely Different,Uniquely Different,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Dominant Red Tricolor,,CTU1,No
CTC428,MM Uncharted Territory,Uncharted Territory,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Dominant Red Tricolor,,CTU1,No
CTC427,MM Pinky,Pinky,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Tricolor,,CTU1,No
CTC426,MM U11-F8,U11-F8,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Dominant Red Tricolor,,CTU1,No
CTC425,MM Splash,Splash,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Tricolor,,CTU1,No
CTC424,MM Under the Radar,Under the Radar,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Dominant Red Pied,,CTU1,No
CTC423,MM U11-F5,U11-F5,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Black Pied,,CTU1,No
CTC422,MM Uno Reverse,Uno Reverse,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Dominant Red Tricolor,,CTU1,No
CTC421,MM Unicorn Glitter,Unicorn Glitter,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Tricolor,,CTU1,No
CTC419,MM Ulterior Motive,Ulterior Motive,MM,,Fancy Mouse,Female,2024-07-12,CTC188,CTC418,,Tricolor,,CTU1,No
CTC1992,PvK Snoetje,Snoetje,PvK,,Fancy Mouse,Male,2024-06-23,,,,Black Pied,,CTU2,No
CTC415,MM Treasure Hunt,Treasure Hunt,MM,,Fancy Mouse,Female,2024-05-22,CTC281,CTC263,,Brindle Pied,,CTU1,No
CTC417,MM Two to Tango,Two to Tango,MM,,Fancy Mouse,Female,2024-05-22,CTC281,CTC263,,Brindle,,CTU1,No
CTC416,MM Tuxedo Teaser,Tuxedo Teaser,MM,,Fancy Mouse,Female,2024-05-22,CTC281,CTC263,,Black Tan Pied,,CTU1,No
CTC414,MM T11-F1,T11-F1,MM,,Fancy Mouse,Female,2024-05-22,CTC281,CTC263,,Brindle,,CTU1,No
CTC413,MM Teddy Boy,Teddy Boy,MM,,Fancy Mouse,Male,2024-05-22,CTC281,CTC263,,Chocolate Tan Pied,,CTU1,No
CTC282,MM Royal Sunshine,Royal Sunshine,MM,,Fancy Mouse,Female,2024-05-19,CTC281,CTC200,,Brindle Pied,,CTU1,No
CTC412,MM Raggedy Anne,Raggedy Anne,MM,,Fancy Mouse,Female,2024-05-19,CTC281,CTC200,,Brindle Pied,,CTU1,No
CTC409,MM Reggie Pride,Reggie Pride,MM,,Fancy Mouse,Male,2024-05-19,CTC281,CTC200,,Brindle Pied,,CTU1,No
CTC410,MM Ravin' Renegade,Ravin' Renegade,MM,,Fancy Mouse,Female,2024-05-19,CTC281,CTC200,,Brindle Pied,,CTU1,No
CTC411,MM Raichu,Raichu,MM,,Fancy Mouse,Male,2024-05-19,CTC281,CTC200,,Brindle Pied,,CTU1,No
CTC277,MM Queen of Hearts,Queen of Hearts,MM,,Fancy Mouse,Female,2024-05-17,CTC275,CTC276,,Brindle Pied,,CTU1,No
CTC408,MM Quava,Quava,MM,,Fancy Mouse,Female,2024-05-17,CTC275,CTC276,,Black Pied,,CTU1,No
CTC274,MM Oddball,Oddball,MM,,Fancy Mouse,Male,2024-05-08,CTC272,CTC262,,Black Pied,,CTU1,No
CTC28,MM Nautica,Nautica,MM,,Fancy Mouse,Female,2024-05-08,CTC301,CTC302,,Blue Pied,,CTU1,No
CTC406,MM Oppy,Oppy,MM,,Fancy Mouse,Female,2024-05-08,CTC272,CTC262,,Black Pied,,CTU1,No
CTC405,MM Odyssee,Odyssee,MM,,Fancy Mouse,Female,2024-05-08,CTC272,CTC262,,Black Pied,,CTU1,No
CTC404,MM Nanook,Nanook,MM,,Fancy Mouse,Female,2024-05-08,CTC301,CTC302,,Black,,CTU1,No
CTC303,MM Nero,Nero,MM,,Fancy Mouse,Male,2024-05-08,CTC301,CTC302,,Black Pief,,CTU1,No
CTC273,MM Toretto,Toretto,MM,,Fancy Mouse,Male,2024-05-08,CTC272,CTC262,,Black Pied,,CTU1,No
CTC265,MM Ambrosia,Ambrosia,MM,,Fancy Mouse,Female,2024-05-07,CTC266,CTC267,,Black Merle Pied,,CTU1,No
CTC403,MM Marshmallow,Marshmallow,MM,,Fancy Mouse,Female,2024-05-07,CTC400,CTC387,,Snowtiger Pied,,CTU1,No
CTC402,MM Mango Vista,Mango Vista,MM,,Fancy Mouse,Female,2024-05-07,CTC400,CTC387,,Brindle Tricolor,,CTU1,No
CTC401,MM Maddie's Maiden,Maddie's Maiden,MM,,Fancy Mouse,Female,2024-05-07,CTC400,CTC387,,Brindle Pied,,CTU1,No
CTC399,MM Lucky Chance,Lucky Chance,MM,,Fancy Mouse,Female,2024-05-06,CTC397,CTC395,,Brindle,,CTU1,No
CTC398,MM Legend of Zelda,Legend of Zelda,MM,,Fancy Mouse,Female,2024-05-06,CTC397,CTC395,,Brindle,,CTU1,No
CTC294,MM Kadeem,Kadeem,MM,,Fancy Mouse,Male,2024-03-31,CTC188,CTC293,,Dominant Red Pied,,CTU1,No
CTC319,MM Keepsake,Keepsake,MM,,Fancy Mouse,Female,2024-03-31,CTC188,CTC293,,Dominant Red Pied,,CTU1,No
CTC1990,Oh My God,Oh My God,,,Fancy Mouse,Female,2024-03-24,,,,Blue Splashed,,CTU2,No
CTC1993,Ocean Breeze,Ocean Breeze,,,Fancy Mouse,Female,2024-03-24,,,,Blue Splashed,,CTU2,No
CTC1991,TnS Ikuya,Ikuya,TnS,,Fancy Mouse,Female,2024-01-23,CTC792,,,Brindle,,CTU2,No
CTC275,MM Whats'up Dog,Whats'up Dog,MM,,Fancy Mouse,Male,2024-01-02,CTC198,CTC230,,Brindle Pied,,CTU1,No
CTC397,MM Whoop Whoop,Whoop Whoop,MM,,Fancy Mouse,Male,2024-01-02,CTC198,CTC230,,Brindle Pied,,CTU1,No
CTC309,MM Ultra Vox,Ultra Vox,MM,,Fancy Mouse,Female,2023-12-28,CTC34,CTC35,,Dominant Red Splashed,,CTU1,No
CTC32,MM Uptown Girl,Uptown Girl,MM,,Fancy Mouse,Female,2023-12-28,CTC34,CTC35,,Dominant Red,,CTU1,No
CTC396,MM Unicat,Unicat,MM,,Fancy Mouse,Female,2023-12-28,CTC34,CTC35,,Dominant Red Pied,,CTU1,No
CTC188,MM Up2Date,Up2Date,MM,,Fancy Mouse,Male,2023-12-28,CTC34,CTC35,,Dominant Red Pied,,CTU1,No
CTC187,MM Umbreon,Umbreon,MM,,Fancy Mouse,Female,2023-12-28,CTC34,CTC35,,Tricolor,,CTU1,No
CTC395,MM Touchdown,Touchdown,MM,,Fancy Mouse,Female,2023-12-26,CTC199,CTC200,,Black,,CTU1,No
CTC394,MM Tater Tot,Tater Tot,MM,,Fancy Mouse,Female,2023-12-26,CTC199,CTC200,,Brindle,,CTU1,No
